category,count
Information Technology,122754
Engineering,118538
Admin / Secretarial,98040
Customer Service,94283
Others,93768
Sales / Retail,90905
Building and Construction,74156
Accounting / Auditing / Taxation,66384
F&B,64344
Logistics / Supply Chain,59032
Banking and Finance,53593
Manufacturing,48774
Marketing / Public Relations,45311
Healthcare / Pharmaceutical,44412
Human Resources,44039
Education and Training,38040
Consulting,33106
General Management,30844
General Work,25627
Hospitality,21906
Repair and Maintenance,21116
Professional Services,17379
Advertising / Media,16581
Sciences / Laboratory / R&D,16546
Design,15727
Environment / Health,15094
Personal Care / Beauty,15087
Events / Promotions,13728
Purchasing / Merchandising,13450
Architecture / Interior Design,13439
Medical / Therapy Services,12968
Wholesale Trade,9688
Legal,9425
Real Estate / Property Management,9120
Risk Management,8199
Social Services,7748
Insurance,6801
Telecommunications,6302
Precision Engineering,5785
Travel / Tourism,5684
Security and Investigation,4625
Entertainment,3493
Public / Civil Service,2753
